Result,White,Black,Moves
1.0,BOSS,Lucifer,b2b3 d5d4 c2c3 e5e4 c1b2 a5a4 c3d4 c5d4 d1c1 d4d3 e2e3 c6d5 b1c3 b6c6 b2a3 e6e5 a3b4 d5e6 c1a3 d6c4 b3c4 e6c4 a3b2 c6b6 a1c1 b6c6 b4a3 c6e6 b2b4 e6c6 c3d1 c6d5 a3b2 e5e6 b2c3 a6b6 b4a5 b6c6 c3b4 d5c5 b4c5 c6c5 d1b2 e6a6 c1c4 c5d6 a5a6 d6d5 a6b5 d5d6 c4c6 d6c6 b5c6 a4a3 b2a4
0.0,Lucifer,BOSS,a2a3 a5a4 b2b3 d5d4 b3a4 b5a4 c2c3 b6a5 c3d4 e5d4 d1c2 e6e2 e1e2 d4d3 c2d3 c6b5 d3b5 a5b5 d2d3 b5b3 c1e3 b3b2 e3d2 d6b5 e2d1 b5d4 d2a5 b2e2 d1c1 e2c2 c1c2
1.0,BOSS,Lucifer,b2b3 c5c4 c2c3 b6c5 d2d3 d6e4 d3e4 d5e4 d1d2 c6d5 b3b4 a5b4 d2d5 c5d5 a2a3 b4b3 a3a4 b5a4 a1a4 a6b6 b1a3 e6d6 c1e3 b6c6 a4a6 c6b6
0.0,Lucifer,BOSS,a2a3 a5a4 b2b3 d5d4 b3a4 b5a4 c2c3 b6a5 e2e3 d4d3 d1a4 a5a4 a1a2 a4c2 a2c2 d3c2 d2d3 c2b1 e1d2 d6e4 d3e4 e6d6 d2e2 b1c1 a3a4 c1d1 e2d1
0.0,Lucifer,LinearReg,a2a3 d6c4 c2c3 c4a3 b2a3 a5a4 d1a4 b5a4 d2d3 a6a5 c3c4 b6a6 b1d2 a6b6 e2e3 d5c4 d3c4 e6d6 a1a2 d6e6 e3e4 c6e4 d2e4 b6a6 e4c5 a6c4 c5e6 c4c1 e1e2 c1c3 e2d1 a5a6 a2b2 c3b2 e6c5 a6b6 c5a4 b6a6 a4b2 e5e4 a3a4 a6b6 a4a5 b6a5 b2a4 a5a4 d1c2 a4b5 c2c3 b5c5 c3b2 c5d6 b2c3 d6c5 c3b2 c5d6 b2c3 d6c5 c3b2 c5b6 b2c3 b6a5 c3b4
0.0,BOSS,LinearReg,b2b3 d6e4 c2c3 e4c3 d2c3 e6d6 b1a3 d5d4 d1d2 d4c3 d2d6 c6e4 d6e5 b6c6 e5c3 a6b6 e1d2 c6d6 a3b5
0.0,BOSS,Lucifer,b2b3 d6c4 b3c4 a5a4 c4b5 b6b5 c2c3 c5c4 b1a3 b5c5 a3c2 d5d4 c2b4 c5b4 c3b4 c6b5 d1a4 b5a4 c1a3 e5e4 a1c1 a4b5 c1c4 b5c4 b4b5 c4b5 e1d1 a6b6 a3b2 b6c5 e2e3 d4d3 b2e5 e6e5 d1c1 b5c4 c1b2 c4a2 b2a2 c5c6 a2b2 e5c5 b2a2 c5c2 a2a1 c6b6 a1a2
0.0,Lucifer,LinearReg,a2a3 d6c4 c2c3 e5e4 a3a4 b5a4 a1a4 c6a4 d1a4 c4b2 a4a1 b2d1 a1a5 a6a5 e1d1 b6b1 d2d3 e4e3 c3c4 d5d4 d1e1 b1c1 e1d2
1.0,LinearReg,BOSS,c2c3 d5d4 d1b3 d4c3 b3e6 c3b2 c1b2 d6c4 e6c6 b6c6 b2c1 c4d2 c1d2 b5b4 d2c1 c6e4 c1b2 a6b5 b2e5 e4b1 a1b1 b5c6 e5b2 c5c4 e1d1 c6c5 d1c2 c5d5 b1c1 c4c3 c1d1 c3b2
0.0,Lucifer,LinearReg,a2a3 d6c4 c2c3 c4a3 b2a3 b5b4 a3a4 e6d6 c3b4 c5b4 d2d3 b6d4 e2e3 d4a1 c1d2 a1b1 d1b1 c6a4 d2b4 a5b4 b1b4 d6c6 b4a4 a6b6 e3e4 d5e4 a4c6 b6c6 d3e4 c6c5 e1d2 c5d4 d2c3
0.0,LinearReg,Lucifer,c2c3 a5a4 d1a4 b5a4 b2b3 b6a5 b3a4 c6a4 a2a3 c5c4 e2e3 d5d4 c3d4 e5d4 b1c3 d4c3 d2c3 a5c3 e3e4
1.0,BOSS,LinearReg,b2b3 d6e4 c2c3 e4d2 d1d2 e6d6 b1a3 a5a4 a1b1 a4b3 b1b3 a6a5 a3b5 b6b5 c3c4 b5b4 b3b4 c5b4 a2a3 a5a6 a3b4 d5c4 d2a2 a6b6 a2a5 b6a6
1.0,BOSS,Lucifer,b2b3 d6c4 b3c4 b5c4 a2a3 c6b5 a3a4 b5a4 b1c3 a4c2 d1c2 a6b5
0.0,LinearReg,BOSS,c2c3 d5d4 c3d4 e5d4 d1b3 e6e5 e1d1 e5e2 b3b5 b6b5 a2a3 d4d3 a3a4 b5b3 a1a3
